EnemyID,Position,StageID
Slime_03,1;1;0,Stage0-03
Slime_03,-1;2.5;0,Stage0-03
Slime_03,2;3.6;0,Stage0-05
Rat_02,1;1;0,Stage0-07
Rat_02,2;2;0,Stage0-07
Slime_03,-1;-1;0,Stage0-07
SkeletonArcher_04,0;0;0,Stage1-02-1
SkeletonGhost_05,0;0;0,Stage1-02-1
SkeletonMage_06,0;0;0,Stage1-02-1
SkeletonArcher_04,0;0;0,Stage1-02-2
SkeletonGhost_05,0;0;0,Stage1-02-2
SkeletonMage_06,0;0;0,Stage1-02-2
SkeletonArcher_04,0;0;0,Stage1-04-1
SkeletonGhost_05,0;0;0,Stage1-04-1
SkeletonMage_06,0;0;0,Stage1-04-1
SkeletonArcher_04,0;0;0,Stage1-09-1
SkeletonGhost_05,0;0;0,Stage1-09-1
SkeletonMage_06,0;0;0,Stage1-09-1
SkeletonArcher_04,0;0;0,Stage1-09-2
SkeletonGhost_05,0;0;0,Stage1-09-2
SkeletonMage_06,0;0;0,Stage1-09-2
SkeletonArcher_04,0;0;0,Stage1-11-1
SkeletonGhost_05,0;0;0,Stage1-11-1
SkeletonMage_06,0;0;0,Stage1-11-1
SkeletonArcher_04,0;0;0,Stage1-16-1
SkeletonGhost_05,0;0;0,Stage1-16-1
SkeletonMage_06,0;0;0,Stage1-16-1
SkeletonArcher_04,0;0;0,Stage1-16-2
SkeletonGhost_05,0;0;0,Stage1-16-2
SkeletonMage_06,0;0;0,Stage1-16-2
SkeletonArcher_04,0;0;0,Stage1-18-1
SkeletonGhost_05,0;0;0,Stage1-18-1
SkeletonMage_06,0;0;0,Stage1-18-1
Boss_SkeletonKing_50,0.589016;13;0,Stage1-21-1
SkeletonArcher_04,0;0;0,Stage1-22-1
SkeletonGhost_05,0;0;0,Stage1-22-1
SkeletonMage_06,0;0;0,Stage1-22-1
SkeletonArcher_04,0;0;0,Stage1-22-2
SkeletonGhost_05,0;0;0,Stage1-22-2
SkeletonMage_06,0;0;0,Stage1-22-2
SkeletonArcher_04,0;0;0,Stage1-23-1
SkeletonGhost_05,0;0;0,Stage1-23-1
SkeletonMage_06,0;0;0,Stage1-23-1
SkeletonArcher_04,0;0;0,Stage1-23-2
SkeletonGhost_05,0;0;0,Stage1-23-2
SkeletonMage_06,0;0;0,Stage1-23-2
SkeletonArcher_04,0;0;0,Stage1-26-1
SkeletonGhost_05,0;0;0,Stage1-26-1
SkeletonMage_06,0;0;0,Stage1-26-1
SkeletonArcher_04,0;0;0,Stage1-26-2
SkeletonGhost_05,0;0;0,Stage1-26-2
SkeletonMage_06,0;0;0,Stage1-26-2
