EnemyID,Position,StageID
Slime_01,-1;2.5;0,Stage0-03
Slime_01,1;1;0,Stage0-03
Slime_01,6.06;10.01;0,Stage1-02-1
Slime_01,-5.88;10.2;0,Stage1-02-1
Slime_03,-4.92;-0.48;0,Stage1-02-1
Slime_03,6.04;-0.48;0,Stage1-02-1
Slime_03,0.24;12.01;0,Stage1-02-1
Slime_01,-6.6;6.64;0,Stage1-02-2
Slime_01,0.44;10.44;0,Stage1-02-2
Slime_01,6.6;6.52;0,Stage1-02-2
Slime_01,0.48;-2.63;0,Stage1-04-1
Slime_01,0.56;13.48;0,Stage1-04-1
Slime_01,10.4;5.4;0,Stage1-04-1
Slime_01,-9.44;5.52;0,Stage1-04-1
Rat_02,-4.31;8.88;0,Stage1-04-1
Rat_02,5.03;8.84;0,Stage1-04-1
Slime_01,10;14;0,Stage1-09-1
Slime_01,-9;-3;0,Stage1-09-1
Slime_03,-9;14;0,Stage1-09-1
Slime_03,10;-3;0,Stage1-09-1
Slime_01,0;13;0,Stage1-09-2
Slime_01,-5;-2;0,Stage1-09-2
Slime_01,6;-2;0,Stage1-09-2
Rat_02,8;-3;0,Stage1-11-1
Rat_02,11;-4;0,Stage1-11-1
Rat_02,10;-1;0,Stage1-11-1
Rat_02,-9;12;0,Stage1-11-1
Rat_02,-7;14;0,Stage1-11-1
Rat_02,-10;15;0,Stage1-11-1
Rat_02,8.5;5.5;0,Stage1-16-1
Rat_02,-7.5;5.5;0,Stage1-16-1
Slime_03,-10.5;10.5;0,Stage1-16-1
Slime_03,11.5;0.5;0,Stage1-16-1
Slime_03,-10.5;0.5;0,Stage1-16-1
Slime_03,11.5;10.5;0,Stage1-16-1
Rat_02,0.5;0.5;0,Stage1-16-2
Rat_02,0.5;10;0,Stage1-16-2
Slime_01,0.5;5.5;0,Stage1-18-1
Slime_03,0.5;10.5;0,Stage1-18-1
Slime_03,-11;5.5;0,Stage1-18-1
Slime_03,0.5;0.5;0,Stage1-18-1
Slime_03,11;5.5;0,Stage1-18-1
Boss_SkeletonKing_50,0.589016;13;0,Stage1-21-1
SkeletonArcher_04,-8;5;0,Stage1-22-1
SkeletonArcher_04,8;5;0,Stage1-22-1
SkeletonArcher_04,0;12;0,Stage1-22-2
SkeletonArcher_04,-8;3;0,Stage1-22-2
SkeletonArcher_04,8;3;0,Stage1-22-2
SkeletonArcher_04,-9;-2;0,Stage1-23-1
SkeletonArcher_04,10;13;0,Stage1-23-1
SkeletonArcher_04,-9;13;0,Stage1-23-2
SkeletonArcher_04,10;-2;0,Stage1-23-2
